id|name|brand|details|price|size|is_by_weight
386|AZUCAR MASCAVADO ***BAJADA PVP***| HACENDADO|https://www.telecompra.mercadona.es/detall_producte.php?id=19902|1.05| PAQUETE 500 G|false
387|CERVEZA RUBIA ESPECIAL 5 ESTRELLAS (ENVASE ROJO) ***BAJADA PVP***| MAHOU|https://www.telecompra.mercadona.es/detall_producte.php?id=66031|6.96| LATA PACK 12 X 330 ML - 3960 ML|false
388|ACEITE SEMILLAS FREIR TAPON ROJO ***NOVEDAD***| FONTASOL|https://www.telecompra.mercadona.es/detall_producte.php?id=67689|2.85| BOTELLA 1 L|false
389|APERITIVO SNACK DE MULTICEREALES ***NOVEDAD***| HACENDADO|https://www.telecompra.mercadona.es/detall_producte.php?id=22294|1.1| PAQUETE 100 G|false
390|APERITIVO SNACK TRIANGULOS DE PATATA ***NOVEDAD***| ESTRELLA|https://www.telecompra.mercadona.es/detall_producte.php?id=22434|1.35| PAQUETE 78 G|false
391|ATUN REFRIGERADO FILETE ***NOVEDAD***| HACENDADO|https://www.telecompra.mercadona.es/detall_producte.php?id=83990|5.16| BANDEJA 225 G APROX(PESO APROXIMADO DE LA UNIDAD 225 GR)|false
392|BARRITA PROTEINAS CHOCOLATE NEGRO PARA DEPORTISTAS ***NOVEDAD***| ENERVITSPORT|https://www.telecompra.mercadona.es/detall_producte.php?id=23670|4.9| CAJA 3 U - 180 G|false
393|BIZCOCHITO MONKEYS ***NOVEDAD***| HACENDADO|https://www.telecompra.mercadona.es/detall_producte.php?id=23118|1.05| CAJA 5 U - 150 ML|false
394|BOLLO PANCAKE RELLENO CHOCOLATE DORAYAKI ***NOVEDAD***| HACENDADO|https://www.telecompra.mercadona.es/detall_producte.php?id=23337|1.25| PAQUETE 4 U - 180 G|false
395|CACAHUETE NATURAL (CON PIEL) ***NOVEDAD***| HACENDADO|https://www.telecompra.mercadona.es/detall_producte.php?id=23854|1.6| PAQUETE 300 G|false
396|CERDO MAGRO CABEZA TROZO FRESCO ***NOVEDAD***| VARIOS|https://www.telecompra.mercadona.es/detall_producte.php?id=3554|4.13| BANDEJA 900 G APROX(PESO APROXIMADO DE LA UNIDAD 900 GR)|false
397|CERVEZA TOSTADA ***NOVEDAD***| TURIA|https://www.telecompra.mercadona.es/detall_producte.php?id=67031|0.59| BOTELLIN 250 ML|false
398|COMIDA PREPARADA MIGAS ***NOVEDAD***| HACENDADO|https://www.telecompra.mercadona.es/detall_producte.php?id=23289|1.9| BANDEJA 220 G|false
399|CREMA AVELLANAS Y DATIL ***NOVEDAD***| HACENDADO|https://www.telecompra.mercadona.es/detall_producte.php?id=22510|2.85| TARRO 200 G|false
400|FRUTA BOLSILLO MANZANA, MELON Y SANDIA 100% FRUTA (COLOR ROSA) A PARTIR 6 MESES ***NOVEDAD***| HACENDADO|https://www.telecompra.mercadona.es/detall_producte.php?id=22183|0.9| BOLSA 120 G|false
